File_Number,Instruments
1426,Piano
1427,Piano
1428,Piano
1429,Piano
1430,Piano
1431,Piano
1432,Piano
1433,Piano
1434,Piano
1435,Piano
1436,Piano
1437,Piano
1438,Piano
1439,Piano
1440,Piano
1441,Piano
1442,Piano
1443,Piano
1444,Piano
1445,Piano
1446,Piano
1447,Piano
1448,Piano
1449,Piano
1450,Piano
1451,Piano
1452,Piano
1453,Piano
1454,Piano
1455,Piano
1456,Piano
1457,Piano
1458,Piano
1459,Piano
1460,Piano
1461,Piano
1462,Piano
1463,Piano
1464,Piano
1465,Piano
1466,Piano
1467,Piano (2)
1468,Piano (2)
1469,Piano
1470,Piano
1471,Piano
1472,Piano
1473,Piano
1474,Piano
1475,Piano
1476,Piano
1477,Piano
1478,Piano
1479,Piano
1480,Piano
1481,Piano
1482,Piano
1483,Piano
1484,Piano
1485,Piano
1486,Piano
1487,Piano
1488,Piano
1489,Piano
1490,Piano
1491,Piano
1492,Piano
1493,Piano
1494,Piano
1495,Piano
1496,Piano
1497,Piano
1498,"Clarinet In B-flat,Vocals,Piano"
1499,Piano (2)
1500,Piano (2)
1501,Piano
1502,Piano
1503,Piano
1504,Piano
1505,"Clarinet In B-flat,Piano"
1506,Piano
1507,Piano
1508,Piano
1509,"Bass Voice,Natural Horn,Piano"
1510,Piano
1511,Piano
1512,Piano
1513,Piano
1514,Piano
1515,Piano
1516,Piano
1517,Piano
1518,Piano
1519,Piano
1520,Piano
1521,Piano
1522,Piano
1523,Piano
1524,Piano
1525,Piano
1526,Piano
1527,Piano
1528,Piano
1529,Piano
1530,Piano
1531,Piano
1532,Piano
1533,Piano
1534,Piano
1535,Piano
1536,Piano
1537,Piano
1538,Piano
1539,Piano
1540,Piano
1541,Piano
1542,Piano
1543,Piano
1544,Piano
1545,Piano
1546,Piano
1547,Piano
1548,Piano
1549,Piano
1550,Piano (2)
1551,"Piano,French Horn (2),Trumpet In B-flat,Trombone,Tuba,Violin,Viola,Cello,Contrabass,Snare Drum,Tenor Drum,Bass Drum,Crash"
1552,Piano
1553,Piano
1554,Piano
1555,Piano
1556,Piano
1557,Piano
1558,Piano
1559,Piano
1560,Piano
1561,Piano
1562,Piano
1563,Piano
1564,Piano
1565,Piano
1566,Piano
1567,Piano
1568,Piano
1569,Piano
1570,Piano
1571,Piano
1572,Piano
1573,Piano
1574,Piano
1575,Piano
1576,"Clarinet In B-flat,Piano"
1577,"Baritone,Piano"
1578,Piano
1579,Piano
1580,"Clarinet In B-flat,Piano"
1581,"Vocals,Piano"
1582,"Violin,Piano"
1583,Piano
1584,Piano
1585,Piano
1586,Piano
1587,Piano
1588,Piano
1589,Piano
1590,Piano
1591,Piano
1592,Piano
1593,Piano
1594,Piano
1595,Piano
1596,Piano
1597,Piano
1598,Piano
1599,Piano
1600,Piano
1601,Piano
1602,Piano
1603,Piano
1604,Piano
1605,Piano
1606,Piano
1607,Piano
1608,Piano
1609,Piano
1610,Piano
1611,Piano
1612,Piano
1613,Piano
1614,Piano
1615,Piano
1616,Piano
1617,Piano
1618,Piano
1619,Piano
1620,Piano
1621,Piano
1622,Piano
1623,Piano
1624,Piano
1625,Piano
1626,Piano
1627,Piano
1628,Piano
1629,"Clarinet In B-flat,Piano"
1630,Piano
1631,Piano
1632,Piano
1633,Piano
1634,Piano
1635,Piano
1636,Piano
1637,Piano
1638,Piano
